No.,WORD,TRUE_V,PREDICT_V,V_ERROR,TRUE_A,PREDICT_A,A_ERROR
1537,谢意,6.2,4.0,2.2,6.0,6.0,0.0
1604,欢笑,7.4,4.4,3.0,6.8,5.9,0.9
411,低能,2.6,3.7,-1.1,4.6,6.0,-1.4
1521,聪明,7.0,5.3,1.7,4.8,5.5,-0.7
1152,傻子,3.6,4.1,-0.5,4.2,5.9,-1.7
339,丢脸,3.0,3.9,-0.9,5.8,6.0,-0.2
1026,悲苦,2.4,4.0,-1.6,5.0,5.9,-0.9
44,无趣,3.4,5.1,-1.7,5.2,5.5,-0.3
540,怕羞,4.2,4.1,0.1,5.4,5.9,-0.5
602,保卫,5.8,4.0,1.8,6.4,6.1,0.3
1333,僵局,3.8,4.0,-0.2,4.2,5.9,-1.7
966,贪婪,2.8,3.6,-0.8,6.6,6.0,0.6
1483,迟疑,3.6,4.0,-0.4,4.8,5.9,-1.1
172,款待,6.2,4.4,1.8,5.4,5.8,-0.4
418,克制,5.0,3.9,1.1,5.0,5.9,-0.9
838,高傲,3.2,5.2,-2.0,6.0,5.4,0.6
1552,坏死,2.8,3.4,-0.6,5.0,5.9,-0.9
1376,乐天,6.8,4.6,2.2,4.6,5.8,-1.2
807,胁迫,2.6,3.6,-1.0,7.2,6.2,1.0
883,排斥,3.2,3.8,-0.6,6.0,6.0,0.0
1547,镇压,3.0,3.6,-0.6,7.0,6.3,0.7
638,怒不,3.8,5.0,-1.2,5.8,5.0,0.8
424,利己,5.6,3.8,1.8,4.8,5.9,-1.1
728,哭闹,2.8,4.0,-1.2,7.4,5.9,1.5
968,贪欲,3.6,4.0,-0.4,5.6,5.8,-0.2
1340,堕落,2.4,3.6,-1.2,6.2,6.1,0.1
377,有钱,6.4,5.2,1.2,5.4,5.5,-0.1
525,奇怪,4.2,5.1,-0.9,5.2,5.5,-0.3
439,妨碍,3.2,3.8,-0.6,5.8,5.9,-0.1
1425,遭受,3.6,3.5,0.1,5.8,6.1,-0.3
151,抱怨,2.8,3.8,-1.0,6.6,5.9,0.7
1653,贪污,1.8,3.6,-1.8,7.6,6.0,1.6
1498,优雅,6.8,5.5,1.3,5.0,5.4,-0.4
982,创伤,2.8,3.7,-0.9,6.2,5.9,0.3
955,贫困,3.2,3.9,-0.7,4.4,5.9,-1.5
1489,头昏,3.2,3.8,-0.6,4.6,6.0,-1.4
144,忌妒,3.0,5.1,-2.1,6.8,5.5,1.3
718,倒霉,3.2,4.0,-0.8,5.4,5.9,-0.5
527,孤,3.4,3.9,-0.5,4.6,5.8,-1.2
584,知识,6.6,5.5,1.1,3.4,5.4,-2.0
976,阴暗,3.6,5.1,-1.5,3.8,5.4,-1.6
567,服从,5.4,4.0,1.4,3.8,5.9,-2.1
1233,万念俱灰,1.4,4.0,-2.6,7.4,6.0,1.4
441,孝顺,7.4,5.3,2.1,5.4,5.4,0.0
1156,嫉,3.0,4.0,-1.0,6.2,5.9,0.3
175,闲话,4.0,4.0,0.0,4.4,5.9,-1.5
1295,祸,3.2,3.9,-0.7,6.0,5.9,0.1
1398,奖杯,7.4,7.0,0.4,5.4,5.5,-0.1
124,操,2.0,4.0,-2.0,8.0,5.8,2.2
139,打断,4.0,3.5,0.5,4.6,6.1,-1.5
880,情绪,4.6,3.8,0.8,5.4,5.9,-0.5
1076,无味,4.4,4.0,0.4,3.2,5.8,-2.6
733,害怕,3.2,3.6,-0.4,5.6,6.0,-0.4
625,哀恸,1.8,4.0,-2.2,7.6,5.9,1.7
1300,精疲力尽,3.0,3.5,-0.5,5.2,6.0,-0.8
785,真诚,7.0,5.4,1.6,5.0,5.4,-0.4
1367,敌视,3.0,3.7,-0.7,6.6,6.0,0.6
1281,满足,7.4,4.4,3.0,4.6,5.6,-1.0
183,驳斥,2.8,3.7,-0.9,7.2,6.0,1.2
