Word_jian,Valence_Mean,Arousal_Mean,V_pred,A_pred
护,6.0,4.4,3.12544534286,6.00667397696
敏锐,6.4,5.2,5.85147862419,4.84026788943
精美,6.4,4.2,6.70321457328,5.65683132389
有力,6.0,6.0,6.58899261432,5.196796468
怜惜,4.6,4.8,2.62829981991,6.89921314418
奖学金,7.4,5.6,7.09000727262,5.35877024079
糊涂,3.8,3.6,3.47229603154,4.84448981408
损伤,2.8,6.8,2.8687117235,6.01486701716
差,3.4,4.6,3.81392341485,3.56912435924
热爱,7.2,7.0,6.6234394895,5.68143310059
惶,3.4,6.4,2.44591152252,7.19923962101
可爱,7.0,6.2,4.87570563547,5.18430348948
承诺,6.6,5.2,6.30771730309,5.52761584885
讽刺,3.0,6.8,3.62023629922,6.49763777713
绷紧,4.2,7.2,4.37743403291,5.23709620857
死,1.2,5.0,2.45458178924,7.48663941312
诧异,4.2,6.8,2.97690089983,6.066421975
激动,4.8,7.8,3.93729661602,6.45640782488
毁灭,2.8,7.6,3.09193718359,6.42120505911
悠闲,6.4,2.6,5.28257939721,3.38299971457
欢乐,7.2,6.8,7.19095894397,5.5833854547
虚荣,3.0,6.2,3.20053160599,4.90053976012
心痛,2.6,7.2,3.48719728856,5.36957033135
讨喜,6.8,6.0,4.27520471236,4.56171969164
怒气,2.4,7.8,2.57131764086,7.58637043114
惊奇,6.2,7.4,5.09729502391,6.93463778767
罪过,2.6,6.4,2.77347921015,6.0269200331
威严,5.4,5.4,5.69001696814,5.29634137858
怒,2.4,7.2,2.9768025812,6.09187063619
放肆,2.4,7.8,3.24222731016,5.90987341935
利益,6.2,5.0,4.71400638669,5.78453182553
柔,5.2,3.0,4.04780750507,3.8053413733
恶人,2.8,6.2,2.37255240373,6.70747940047
烦劳,3.2,5.8,2.9321228775,5.1592208704
着迷,5.6,7.0,4.68079557315,6.15137464815
夸大,3.6,5.0,3.09840257528,5.45560297452
剧烈,4.6,8.2,2.97746253106,6.09335164108
焦急,3.0,7.0,3.97532527033,5.53743668588
丢下,2.8,5.4,3.28886796128,5.858728834
赢,7.2,7.0,5.70811909153,5.72861511219
伤残,2.8,5.8,3.75814765858,6.362086011
隔离,3.4,5.0,2.94597122619,6.30880988941
昂贵,3.8,4.4,4.23503403784,5.78455395143
至善,7.6,6.0,6.18746748385,4.60273921253
深情,7.2,5.2,4.96102391954,5.99599841255
悔恨,2.8,7.4,3.96343264659,5.97492740525
爱护,7.0,5.4,6.94695157349,5.26979013577
上级,4.8,4.4,4.98270246163,6.21545478943
伶俐,6.8,5.0,6.00450311413,5.789649165
难过,3.0,5.6,3.201806775,5.05212954109
自责,3.6,5.2,2.78778893556,6.31537319549
叹,4.0,3.6,4.52793262772,5.69555708485
娇弱,3.8,3.4,3.46412143365,4.79732626206
不顾一切,4.6,7.8,3.77915797906,6.23736728073
战争,3.0,7.2,2.94509116388,7.17872131467
褫夺,2.6,7.4,2.85757094297,6.8711993154
随便,4.2,5.2,3.86445762559,5.58706263694
盛怒,1.8,8.6,1.88542126849,7.94553222185
错过,3.6,4.4,3.5606218889,5.51519093032
崇拜,6.4,6.8,5.93006657396,6.01337935973
平安,7.2,3.4,6.75081230306,5.2501288899
害羞,4.2,4.6,3.57558005295,5.29343354182
冷酷,2.4,5.4,3.20840588275,4.91843063756
喜出望外,7.8,7.6,3.59623970516,6.7635706196
恶狠狠,2.4,7.8,3.22470025417,6.28784820663
遇到,5.0,4.2,3.62287618973,5.78966773836
怕,3.2,6.4,2.97919024757,6.39998858124
为难,3.4,4.8,3.15156925988,6.09671996921
获奖,7.8,7.0,7.22223206052,5.61343201872
空洞,4.0,3.2,3.22883140067,5.15711682281
艰辛,3.0,6.4,3.09793037474,7.0100624627
寒酸,3.6,4.2,3.34831235871,5.04313121766
荒唐,2.8,6.8,2.90902407783,6.29963073045
伴侣,7.0,4.6,6.04392756335,5.79335300774
爽朗,6.8,5.2,5.89456686692,4.50549169709
贫苦,2.8,5.4,3.82348244831,4.62268379818
蹧蹋,2.6,7.2,4.325,6.125
陈腐,2.8,5.0,3.30358813262,4.91156037879
获胜,7.8,7.2,5.94127508002,6.32354031911
疑心,3.2,5.4,2.8140284217,6.68969214936
疲弱,3.0,3.6,3.45585659578,3.75945131599
智慧,7.4,4.0,7.06715668311,4.83798877234
明智,7.2,4.4,6.91441317609,4.69776666481
吝啬,3.4,4.6,3.17807707961,5.5740469074
欢欢喜喜,8.0,6.8,2.58246432903,6.59355994369
答应,5.8,5.0,4.10424509194,5.51133692204
冷静,5.2,4.4,4.72699603434,5.15141807259
笑,6.8,5.8,4.85180620827,5.11215021522
质疑,3.6,5.6,3.32473728624,6.29188542275
义愤,3.2,7.6,2.97090488178,6.22490981013
愧,3.4,6.2,3.1697307286,5.8554619446
自暴自弃,2.0,7.0,3.07468641837,4.72611513919
惊悚,2.8,7.8,3.61842830383,6.65549165489
发抖,3.4,6.2,3.14646646061,5.13102983551
恶言,2.6,6.6,3.00009001365,6.27567958832
谢谢,6.6,5.8,4.1534300595,5.75939033012
佳,6.4,4.6,6.43719216763,4.70849107906
平庸,4.6,3.0,3.44978179849,4.61959529136
软弱,3.6,3.6,3.27258069464,5.61102209087
干,1.0,8.8,4.1309914774,4.75654761976
惊险,4.0,7.6,5.9007816887,6.17612869665
简洁,6.2,4.8,6.59978462592,5.35170935796
开朗,7.2,5.4,6.09093287903,4.39516203628
乐趣,6.4,5.0,6.8567606591,5.27170097022
悲欢,4.8,5.4,2.58448073102,6.88493542718
挚情,7.2,5.4,2.53471567079,6.46628281967
滑稽,4.2,5.0,5.74735403598,5.47473794143
鼓励,7.0,6.2,6.2012817854,5.5994051902
奉承,3.6,5.6,2.87877061018,6.48810948172
欣慰,6.2,4.6,4.03010346048,6.04790389613
迷人,6.8,6.2,6.71886699723,5.51391394255
战乱,3.0,7.2,3.07836325652,5.14702348018
骄傲,4.8,6.4,4.99471146115,5.59819266575
平和,7.0,2.8,7.03440294125,4.48996527199
怀疑,3.8,4.4,3.08226571749,6.0112454544
侵袭,2.6,7.8,2.92086035725,6.84500370332
整洁,6.8,4.2,6.41138449631,4.12826593189
鼓舞,6.6,6.8,6.17810986398,6.60957992233
庆祝,7.0,6.4,5.83396275873,5.81672628391
无理,2.6,6.8,2.94302825262,6.43898296237
活力,6.6,6.2,7.00863421111,5.41990625289
逃避,3.0,6.0,2.97195385206,6.22253165361
怒视,2.4,8.0,2.66969148999,6.92043307382
繁琐,3.8,5.0,3.62483106879,4.5247880264
合宜,6.2,4.4,2.86964737048,6.11167446099
打败,6.2,6.0,4.36661395346,6.69746299745
烦躁,3.2,7.6,3.0749291153,4.99237636815
心情,5.0,3.6,3.49144449187,5.75546938065
哎呀,4.8,6.8,3.19489417284,6.71692435318
伤心,3.0,6.2,3.02776541438,5.67984912601
压制,3.6,6.0,3.04720539012,6.85825664237
贪图,3.0,5.8,2.8582797103,6.40982471898
强健,6.6,6.4,5.54781630808,3.82726203142
景仰,6.8,5.8,6.97627513003,6.32976784519
设防,5.0,4.8,3.3044499723,5.81160712477
痛不欲生,1.8,8.4,2.23742048916,7.80754213887
烦心,3.2,6.0,2.62740779718,6.8302704242
咯咯笑,6.4,5.8,4.325,6.125
蹩脚,3.6,5.2,3.8959016963,5.87411279996
寂寞,3.2,4.6,3.88016961307,5.25616323671
反叛,2.8,6.4,2.40280434957,7.55532757988
美德,7.4,5.2,6.39434991832,5.27709563778
担忧,3.6,4.8,3.28642166926,5.72978589272
惊愕,3.6,7.4,3.91492246401,6.2867937689
恩惠,6.4,5.0,5.4974593,5.87779990426
残酷,1.8,8.2,2.63703076499,6.79714702468
劣,3.0,5.0,4.0648307004,4.75340421893
诉苦,3.2,6.6,2.8212781177,6.4539994057
批判,2.6,6.8,3.12734376209,6.80739981223
激情,5.4,7.4,4.93024691592,5.91629262234
疑难,3.8,4.4,3.74753264668,5.13940847974
烦乱,3.0,7.2,2.76031313539,6.4048718644
极乐,6.8,6.6,3.73530753349,5.23875686614
雅致,6.8,4.4,6.24982590509,4.55812475921
孝敬,7.4,5.4,4.2208142365,5.46934725483
明亮,6.6,4.0,6.67807990856,5.87908166347
信任,7.8,5.8,5.10619636801,6.06170333883
漂亮,7.2,6.0,5.95718496822,5.3698501054
背叛,2.0,8.0,2.34095665301,7.17774596821
臭,3.8,4.6,3.42271796261,5.00904320377
珍藏,6.6,5.4,6.54290424821,5.39788972072
惊恐,2.8,7.8,2.89863416038,5.50565243614
愁,3.4,4.8,2.98475527559,6.23364879083
理想,6.8,5.0,6.92373064647,5.53217731767
悲愤,2.4,7.8,2.93708485296,5.45401673888
成功,8.2,6.6,5.02683911762,6.16246190289
战胜,7.4,7.4,5.0407827701,6.59722416855
死对头,2.6,7.4,4.8540133477,5.67186698318
忠,7.0,5.4,5.71139315229,5.48337566944
疑点,3.8,4.2,3.36793800144,5.64971874571
有益,6.6,5.0,5.35311549909,4.60518784891
冒犯,3.2,7.0,2.51677040236,7.04353819233
活泼,6.8,6.4,6.80437274206,4.24849164297
好笑,6.2,6.4,3.28628505626,5.49957725118
华丽,6.8,5.6,6.69155105558,5.49956402416
爽,7.2,7.2,4.93755047563,5.26281204763
不平,3.6,5.8,3.17770634204,6.32561440218
烦闷,3.0,5.8,3.03072529085,4.98147493409
抵制,3.2,6.6,3.0443422925,7.00218577973
嘉奖,6.8,5.8,7.17155023283,6.10729370785
误会,3.2,5.4,3.48661676945,6.11735691397
哀凄,2.6,5.6,4.325,6.125
欠债,3.4,4.6,2.70708739061,6.54244670555
杀死,1.4,8.2,2.64950789877,7.23853948214
妨害,2.6,6.2,2.46826990608,6.68657522963
富裕,7.4,5.4,3.89033789856,4.61638885699
糟蹋,2.4,7.2,3.09998981776,5.5887567344
流泪,3.2,5.4,3.31714399793,5.13983144341
衰老,3.4,4.2,3.26961649162,4.52310948413
认可,5.8,4.0,7.05333240644,6.05146727907
丧气,3.0,5.0,3.19217398665,6.72903293278
尊重,6.8,5.2,6.46119689212,5.150263436
无力,3.2,3.6,3.30024882766,4.37669031128
